"govtrack_id","last_name","first_name","gender"
401527,Bleakley,Orrin,M
404309,Freeman,James,M
406892,Logan,George,M
404320,French,Burton,M
410203,Spight,Thomas,M
400814,Allison,Robert,M
406642,Lawrence,Joseph,M
408493,Parrish,Lucian,M
401768,Brewer,Mark,M
,Wallace,Henry,
403618,du Pont,Thomas,M
409036,Rankin,John,M
409141,Resnick,Joseph,M
402792,Comstock,Solomon,M
407941,Morris,Calvary,M
411940,Yarborough,Ralph,M
410737,Thom,William,M
402867,Cooper,Charles,M
406683,Leatherwood,Elmer,M
400524,Morella,Constance,F
410639,Tattnall,Edward,M
401579,Bond,Shadrack,M
400281,Mollohan,Alan,M
405458,Hill,John,M
408048,Murdock,Victor,M
411349,Washburne,Elihu,M
403760,Edwards,Edwin,M
401465,Birdseye,Victory,M
409586,Saulsbury,Willard,M
403456,Dies,Martin,M
408739,Pierson,Jeremiah,M
456794,Kelly,Mark,M
300065,Leahy,Patrick,M
404561,Gillespie,James,M
409212,Ricketts,Edwin,M
405057,Hanson,Alexander,M
412693,Lawson,Al,M
412134,Blackwell,Julius,M
410121,Smyth,George,M
408745,Pike,Otis,M
400674,Abele,Homer,M
402268,Cannon,Clarence,M
402746,Cole,William,M
404749,Gray,Joseph,M
405119,Harris,Herbert,M
405984,Jenkins,Albert,M
408131,Nelson,Roger,M
411660,Williams,Henry,M
410772,Thompson,Benjamin,M
407946,Morris,James,M
401649,Bower,Gustavus,M
401599,Borah,William,M
409728,Seeley,John,M
411582,Whitmore,Elias,M
402003,Bulwinkle,Alfred,M
412810,Houlahan,Chrissy,F
410226,Sproul,William,M
411096,Van Rensselaer,Killian,M
410499,Stump,Herman,M
406981,Lucas,William,M
406300,Kerr,Daniel,M
456822,Spartz,Victoria,F
403114,Curtis,Carlton,M
404801,Griest,William,M
410888,Torrens,James,M
402754,Coles,Walter,M
410725,Thatcher,Samuel,M
406372,King,Rufus,M
406239,Kellogg,William,M
412446,Heck,Joseph,M
404735,Grant,Robert,M
405580,Holloway,Clyde,M
456810,Salazar,Maria,M
412514,Swalwell,Eric,M
401955,Buchanan,James,M
410522,Sumner,Charles,M
402170,Cable,Joseph,M
403777,Edwards,William,M
401456,Binney,Horace,M
412604,Clawson,Curtis,M
405967,Jarvis,Leonard,M
412460,Johnson,Bill,M
411261,Wallace,Robert,M
404324,French,Richard,M
405656,Hotchkiss,Giles,M
402860,Coolidge,Frederick,M
411481,Whaley,Richard,M
400389,Stenholm,Charles,M
402612,Classon,David,M
407724,Miller,Louis,M
400735,Albosta,Donald,M
409046,Rariden,James,M
409153,Reynolds,Joseph,M
410294,Steele,George,M
400026,Berry,Robert,M
300154,Helms,Jesse,M
406126,Jones,James,M
404208,Foran,Martin,M
404688,Gorman,Willis,M
403219,Davidson,Alexander,M
409391,Roosevelt,James,M
406146,Jones,Thomas,M
400522,Cooksey,John,M
408263,O’Brien,James,M
407109,Mallory,Robert,M
401396,Bergland,Robert,M
403898,Ervin,Samuel,M
402558,Clark,Alvah,M
412384,Brown,Scott,M
403871,Englebright,Harry,M
402720,Coffin,Peleg,M
408091,Myers,Henry,M
401706,Bradley,Thomas,M
403319,De Priest,Oscar,M
407788,Mitchell,Henry,M
409849,Sherwin,John,M
407536,McLean,Alney,M
412518,Negrete McLeod,Gloria,F
401720,Brainerd,Samuel,M
402316,Carpenter,Edmund,M
408702,Phelps,William,M
407935,Morrill,Anson,M
406383,Kinnard,George,M
410116,Smithers,Nathaniel,M
403251,Davis,John,M
406011,Johansen,August,M
401661,Bowles,Chester,M
411169,Voorhees,Charles,M
405260,Hayes,Philip,M
403150,Daily,Samuel,M
402444,Chanler,John,M
403837,Ellsworth,Mathew,M
405488,Hinds,James,M
409918,Simonds,William,M
412107,Stewart,John,M
400134,Flake,Jeff,M
406078,Johnson,William,M
405662,Houghton,Sherman,M
406482,Kreidler,Myron,M
408380,Otis,Harrison,M
405371,Henry,John,M
411356,Wasielewski,Thaddeus,M
401585,Bonker,Don,M
404929,Hall,Benton,M
402534,Cilley,Jonathan,M
401846,Broomall,John,M
402104,Busby,George,M
406851,Littleton,Martin,M
405232,Hawes,Richard,M
404035,Fenton,Reuben,M
401664,Bowling,William,M
410166,Spalding,Burleigh,M
411619,Wilder,William,M
407594,McSween,Harold,M
402172,Cadmus,Cornelius,M
405196,Hastings,Daniel,M
405135,Harris,William,M
401859,Brown,Arthur,M
411815,Witherspoon,Samuel,M
404840,Gross,Harold,M
408211,Nolan,Richard,M
409055,Rawson,Charles,M
409872,Short,Don,M
456813,Clyde,Andrew,M
406120,Jones,Isaac,M
404875,Gurley,John,M
